x_m,y_m,s_m
7.37318,9.59798,12.11845
7.37326,9.57799,12.13845
7.37334,9.55799,12.15845
7.37342,9.53799,12.17844
7.37350,9.51799,12.19844
7.37358,9.49799,12.21844
7.37366,9.47790,12.23844
7.37376,9.45768,12.25843
7.37388,9.43755,12.27843
7.37400,9.41777,12.29843
7.37408,9.39799,12.31843
7.37416,9.37801,12.33843
7.37424,9.35801,12.35842
7.37432,9.33801,12.37842
7.37440,9.31802,12.39842
7.37448,9.29802,12.41842
7.37456,9.27802,12.43841
7.37464,9.25802,12.45841
7.37472,9.23803,12.47841
7.37480,9.21803,12.49841
7.37488,9.19803,12.51841
7.37496,9.17793,12.53840
7.37506,9.15771,12.55840
7.37518,9.13759,12.57840
7.37530,9.11780,12.59840
7.37538,9.09803,12.61840
7.37546,9.07804,12.63839
7.37554,9.05805,12.65839
7.37562,9.03805,12.67839
7.37570,9.01805,12.69839
7.37578,8.99805,12.71838
7.37586,8.97806,12.73838
7.37594,8.95806,12.75838
7.37602,8.93806,12.77838
7.37610,8.91806,12.79838
7.37618,8.89807,12.81837
7.37626,8.87797,12.83837
7.37636,8.85775,12.85837
7.37648,8.83762,12.87837
7.37660,8.81784,12.89836
7.37668,8.79806,12.91836
7.37676,8.77808,12.93836
7.37684,8.75808,12.95836
7.37692,8.73809,12.97836
7.37700,8.71809,12.99835
7.37708,8.69809,13.01835
7.37716,8.67809,13.03835
7.37724,8.65809,13.05835
7.37732,8.63810,13.07834
7.37740,8.61810,13.09834
7.37748,8.59810,13.11834
7.37756,8.57791,13.13834
7.37767,8.55746,13.15834
7.37784,8.53721,13.17833
7.37813,8.51111,13.19833
7.37970,8.48464,13.21833
7.38155,8.45799,13.23833
7.38580,8.42377,13.25828
7.39112,8.39607,13.27828
7.39514,8.37576,13.29828
7.39928,8.35543,13.31828
7.40387,8.33307,13.33827
7.40981,8.30736,13.35826
7.41582,8.28453,13.37826
7.42105,8.26475,13.39826
7.42637,8.24497,13.41826
7.43235,8.22279,13.43825
7.44001,8.19708,13.45824
7.44758,8.17442,13.47824
7.45415,8.15484,13.49824
7.46085,8.13524,13.51824
7.46834,8.11344,13.53823
7.47777,8.08818,13.55822
7.48690,8.06601,13.57822
7.49497,8.04649,13.59822
7.50327,8.02697,13.61822
7.51220,8.00603,13.63821
7.52307,7.98215,13.65820
7.53347,7.96101,13.67820
7.54332,7.94107,13.69820
7.55362,7.92117,13.71820
7.56388,7.90148,13.73820
7.57569,7.87975,13.75819
7.58700,7.86006,13.77819
7.59891,7.83941,13.79818
7.61162,7.81890,13.81818
7.62293,7.80081,13.83818
7.63500,7.78190,13.85818
7.64671,7.76401,13.87817
7.66089,7.74252,13.89817
7.67628,7.72135,13.91817
7.68888,7.70426,13.93817
7.70199,7.68674,13.95816
7.71477,7.66998,13.97816
7.72893,7.65147,13.99816
7.74374,7.63316,14.01816
7.75752,7.61626,14.03815
7.77272,7.59813,14.05815
7.78721,7.58146,14.07815
7.80161,7.56492,14.09814
7.81637,7.54851,14.11814
7.83052,7.53285,14.13814
7.84556,7.51648,14.15814
7.86013,7.50097,14.17813
7.87544,7.48470,14.19813
7.89120,7.46859,14.21813
7.90564,7.45390,14.23813
7.92039,7.43902,14.25812
7.93491,7.42449,14.27812
7.94947,7.40993,14.29812
7.96414,7.39542,14.31812
7.97859,7.38113,14.33812
7.99329,7.36666,14.35811
8.00785,7.35243,14.37811
8.02152,7.33907,14.39811
8.03503,7.32565,14.41811
8.04878,7.31198,14.43810
8.06199,7.29871,14.45810
8.07550,7.28497,14.47810
8.08828,7.27198,14.49810
8.10075,7.25888,14.51810
8.11345,7.24553,14.53809
8.12478,7.23330,14.55809
8.13684,7.21982,14.57809
8.14706,7.20849,14.59808
8.15646,7.19697,14.61808
8.16724,7.18379,14.63808
8.17580,7.17282,14.65807
8.18551,7.15947,14.67807
8.19357,7.14860,14.69807
8.20054,7.13762,14.71806
8.20910,7.12428,14.73806
8.21500,7.11441,14.75804
8.22212,7.10105,14.77804
8.22743,7.09155,14.79804
8.23132,7.08220,14.81803
8.23725,7.06849,14.83803
8.24082,7.05931,14.85801
8.24515,7.04580,14.87800
8.24836,7.03673,14.89800
8.25007,7.02810,14.91799
8.25308,7.01464,14.93799
8.25437,7.00737,14.95796
8.25558,6.99461,14.97796
8.25704,6.98177,14.99795
8.25743,6.96943,15.01795
8.25806,6.95262,15.03795
8.25825,6.93871,15.05794
8.25792,6.92219,15.07793
8.25768,6.90637,15.09793
8.25678,6.89091,15.11793
8.25581,6.87387,15.13793
8.25469,6.86002,15.15792
8.25282,6.84361,15.17791
8.25095,6.82687,15.19791
8.24861,6.81045,15.21791
8.24598,6.79205,15.23791
8.24335,6.77499,15.25790
8.24029,6.75682,15.27790
8.23771,6.74129,15.29790
8.23454,6.72621,15.31790
8.23071,6.70803,15.33789
8.22695,6.69095,15.35789
8.22272,6.67288,15.37789
8.21871,6.65572,15.39789
8.21437,6.63884,15.41788
8.20976,6.62099,15.43788
8.20537,6.60479,15.45788
8.20032,6.58735,15.47788
8.19546,6.57047,15.49787
8.19026,6.55389,15.51787
8.18451,6.53558,15.53787
8.17884,6.51789,15.55787
8.17286,6.49967,15.57786
8.16766,6.48378,15.59786
8.16206,6.46833,15.61786
8.15550,6.45031,15.63786
8.14902,6.43276,15.65785
8.14223,6.41474,15.67785
8.13602,6.39824,15.69785
8.12952,6.38205,15.71785
8.12242,6.36443,15.73784
8.11554,6.34772,15.75784
8.10818,6.33032,15.77784
8.10086,6.31300,15.79784
8.09339,6.29586,15.81784
8.08597,6.27887,15.83783
8.07908,6.26358,15.85783
8.07134,6.24718,15.87783
8.06330,6.23010,15.89782
