x_m,y_m,s_m
7.82321,12.42293,9.25877
7.82079,12.40597,9.27877
7.81855,12.39066,9.29876
7.81704,12.37549,9.31876
7.81523,12.35755,9.33876
7.81386,12.34147,9.35875
7.81269,12.32360,9.37875
7.81156,12.30687,9.39875
7.81096,12.29027,9.41875
7.81029,12.27166,9.43875
7.80985,12.25436,9.45874
7.80964,12.23584,9.47874
7.80941,12.21735,9.49874
7.80944,12.19892,9.51873
7.80948,12.17951,9.53873
7.80960,12.16064,9.55873
7.80983,12.14126,9.57873
7.81006,12.12190,9.59873
7.81041,12.10258,9.61872
7.81077,12.08262,9.63872
7.81113,12.06263,9.65872
7.81149,12.04263,9.67872
7.81185,12.02221,9.69871
7.81214,12.00176,9.71871
7.81243,11.98154,9.73871
7.81268,11.96110,9.75871
7.81288,11.94085,9.77871
7.81308,11.92043,9.79870
7.81321,11.89998,9.81870
7.81333,11.87986,9.83870
7.81343,11.85964,9.85870
7.81351,11.83952,9.87870
7.81359,11.81952,9.89869
7.81367,11.79952,9.91869
7.81375,11.77952,9.93869
7.81383,11.75953,9.95869
7.81391,11.73953,9.97868
7.81399,11.71953,9.99868
7.81407,11.69953,10.01868
7.81415,11.67954,10.03868
7.81423,11.65954,10.05868
7.81431,11.63954,10.07867
7.81439,11.61976,10.09867
7.81451,11.59998,10.11867
7.81463,11.57990,10.13867
7.81473,11.55967,10.15866
7.81481,11.53955,10.17866
7.81489,11.51955,10.19866
7.81497,11.49956,10.21866
7.81505,11.47956,10.23866
7.81513,11.45956,10.25865
7.81521,11.43956,10.27865
7.81529,11.41957,10.29865
7.81537,11.39957,10.31865
7.81545,11.37957,10.33864
7.81553,11.35957,10.35864
7.81561,11.33958,10.37864
7.81569,11.31979,10.39864
7.81581,11.30002,10.41864
7.81593,11.27993,10.43863
7.81603,11.25971,10.45863
7.81611,11.23959,10.47863
7.81619,11.21959,10.49863
7.81627,11.19959,10.51863
7.81635,11.17959,10.53862
7.81643,11.15960,10.55862
7.81651,11.13960,10.57862
7.81659,11.11960,10.59862
7.81667,11.09960,10.61861
7.81675,11.07961,10.63861
7.81683,11.05961,10.65861
7.81691,11.03961,10.67861
7.81699,11.01983,10.69861
7.81711,11.00005,10.71860
7.81723,10.97997,10.73860
7.81733,10.95975,10.75860
7.81741,10.93962,10.77860
7.81749,10.91963,10.79859
7.81757,10.89963,10.81859
7.81765,10.87963,10.83859
7.81773,10.85963,10.85859
7.81781,10.83964,10.87859
7.81789,10.81964,10.89858
7.81797,10.79964,10.91858
7.81805,10.77964,10.93858
7.81813,10.75964,10.95858
7.81821,10.73965,10.97857
7.81829,10.71986,10.99857
7.81841,10.70009,11.01857
7.81853,10.68001,11.03857
7.81863,10.65978,11.05857
7.81871,10.63966,11.07856
7.81879,10.61966,11.09856
7.81887,10.59966,11.11856
7.81895,10.57967,11.13856
7.81903,10.55967,11.15856
7.81911,10.53967,11.17855
7.81919,10.51967,11.19855
7.81927,10.49968,11.21855
7.81935,10.47968,11.23855
7.81943,10.45968,11.25854
7.81951,10.43968,11.27854
7.81959,10.41990,11.29854
7.81971,10.40012,11.31854
7.81983,10.38004,11.33854
7.81993,10.35982,11.35853
7.82001,10.33970,11.37853
7.82009,10.31970,11.39853
7.82017,10.29970,11.41853
7.82025,10.27970,11.43852
7.82033,10.25970,11.45852
7.82041,10.23971,11.47852
7.82049,10.21971,11.49852
7.82057,10.19971,11.51852
7.82065,10.17971,11.53851
7.82073,10.15972,11.55851
7.82081,10.13972,11.57851
7.82089,10.11972,11.59851
7.82097,10.09972,11.61850
7.82105,10.07982,11.63850
7.82115,10.06005,11.65850
7.82127,10.04018,11.67850
7.82139,10.01997,11.69850
7.82147,9.99975,11.71849
7.82155,9.97974,11.73849
7.82163,9.95974,11.75849
7.82171,9.93974,11.77849
7.82179,9.91974,11.79848
7.82187,9.89975,11.81848
7.82195,9.87975,11.83848
7.82203,9.85975,11.85848
7.82211,9.83975,11.87848
7.82219,9.81976,11.89847
7.82227,9.79976,11.91847
7.82235,9.77986,11.93847
7.82245,9.76009,11.95847
7.82257,9.74022,11.97847
7.82269,9.72001,11.99846
7.82277,9.69978,12.01846
7.82285,9.67977,12.03846
7.82293,9.65978,12.05846
7.82301,9.63978,12.07845
7.82309,9.61978,12.09845
7.82317,9.59978,12.11845
7.82325,9.57979,12.13845
7.82333,9.55979,12.15845
7.82341,9.53979,12.17844
7.82349,9.51979,12.19844
7.82357,9.49979,12.21844
7.82365,9.47990,12.23844
7.82375,9.46012,12.25843
7.82387,9.44025,12.27843
7.82399,9.42004,12.29843
7.82407,9.39982,12.31843
7.82415,9.37981,12.33843
7.82423,9.35981,12.35842
7.82431,9.33981,12.37842
7.82439,9.31982,12.39842
7.82447,9.29982,12.41842
7.82455,9.27982,12.43841
7.82463,9.25982,12.45841
7.82471,9.23983,12.47841
7.82479,9.21983,12.49841
7.82487,9.19983,12.51841
7.82495,9.17993,12.53840
7.82505,9.16016,12.55840
7.82517,9.14029,12.57840
7.82529,9.12008,12.59840
7.82537,9.09986,12.61840
7.82545,9.07984,12.63839
7.82553,9.05985,12.65839
7.82561,9.03985,12.67839
7.82569,9.01985,12.69839
7.82577,8.99985,12.71838
7.82585,8.97986,12.73838
7.82593,8.95986,12.75838
7.82601,8.93986,12.77838
7.82609,8.91986,12.79838
7.82617,8.89987,12.81837
7.82625,8.87997,12.83837
