x_m,y_m,s_m,track_width_m
9.25651,13.31864,7.13912,0.4500
9.23717,13.32368,7.15911,0.4500
9.21768,13.32816,7.17911,0.4500
9.19819,13.33264,7.19911,0.4500
9.17853,13.33627,7.21911,0.4500
9.15885,13.33987,7.23910,0.4500
9.13912,13.34306,7.25910,0.4500
9.11930,13.34578,7.27909,0.4500
9.09949,13.34849,7.29909,0.4500
9.07960,13.35056,7.31909,0.4500
9.05971,13.35260,7.33909,0.4500
9.03979,13.35429,7.35908,0.4500
9.01983,13.35557,7.37908,0.4500
8.99987,13.35685,7.39908,0.4500
8.97989,13.35767,7.41908,0.4500
8.95991,13.35847,7.43907,0.4500
8.93992,13.35912,7.45907,0.4500
8.91993,13.35960,7.47907,0.4500
8.89994,13.36008,7.49907,0.4500
8.87994,13.36037,7.51906,0.4500
8.85995,13.36065,7.53906,0.4500
8.83995,13.36093,7.55906,0.4500
8.81996,13.36121,7.57906,0.4500
8.79996,13.36149,7.59905,0.4500
8.77997,13.36196,7.61905,0.4500
8.75998,13.36244,7.63905,0.4500
8.73998,13.36296,7.65905,0.4500
8.71999,13.36352,7.67905,0.4500
8.70000,13.36408,7.69904,0.4500
8.68001,13.36422,7.71904,0.4500
8.66001,13.36434,7.73904,0.4500
8.64002,13.36409,7.75903,0.4500
8.62003,13.36341,7.77903,0.4500
8.60004,13.36273,7.79903,0.4500
8.58010,13.36132,7.81903,0.4500
8.56015,13.35988,7.83902,0.4500
8.54024,13.35803,7.85902,0.4500
8.52038,13.35571,7.87901,0.4500
8.50052,13.35340,7.89901,0.4500
8.48075,13.35035,7.91901,0.4500
8.46100,13.34727,7.93901,0.4500
8.44130,13.34380,7.95900,0.4500
8.42170,13.33988,7.97900,0.4500
8.40209,13.33596,7.99900,0.4500
8.38267,13.33115,8.01899,0.4500
8.36327,13.32631,8.03899,0.4500
8.34400,13.32100,8.05898,0.4500
8.32488,13.31513,8.07898,0.4500
8.30576,13.30927,8.09898,0.4500
8.28693,13.30254,8.11897,0.4500
8.26811,13.29577,8.13897,0.4500
8.24945,13.28861,8.15896,0.4500
8.23097,13.28097,8.17896,0.4500
8.21249,13.27333,8.19896,0.4500
8.19440,13.26481,8.21896,0.4500
8.17632,13.25625,8.23895,0.4500
8.15844,13.24731,8.25895,0.4500
8.14079,13.23790,8.27894,0.4500
8.12315,13.22850,8.29894,0.4500
8.10601,13.21818,8.31894,0.4500
8.08890,13.20783,8.33894,0.4500
8.07210,13.19701,8.35893,0.4500
8.05564,13.18565,8.37892,0.4500
8.03919,13.17428,8.39892,0.4500
8.02334,13.16209,8.41892,0.4500
8.00752,13.14986,8.43892,0.4500
7.99194,13.13733,8.45891,0.4500
7.97665,13.12444,8.47891,0.4500
7.96136,13.11155,8.49890,0.4500
7.94666,13.09799,8.51890,0.4500
7.93199,13.08440,8.53890,0.4500
7.91777,13.07035,8.55888,0.4500
